Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s),DateMonthyear
Family Affair,Mary J. Blige,"July 24, 2001","Dance, hip hop, R&B",4:254,MCA,"Mary J, Blige, Bruce Miller, Andre Young, Camara Kambon, Michael Elizondo",Dr. Dre,,,24 07 2001
Family Affair,Sly and the Family Stone,"November 6, 1971","Funk, psychedelic soul",3:06,"Epic, 5-10805",Sly Stone,Sly Stone,,,06 11 1971
Fancy,"Iggy Azalea, Charli XCX",17 February  2014,"Electro-hop, electropop, pop rap",3:19,"Def Jam, Virgin EMI","Amethyst Kelly, Charlotte Aitchison, George Astasio, Jason Pebworth, Jonathan Christopher Shave, Kurtis McKenzie","The Invisible Men, the Arcade",,,17 February  2014
Fantasy,Mariah Carey,"August 23, 1995","Pop soul, dance-pop, R&B",4:04,Columbia,,"Mariah Carey, Dave Hall","Mariah Carey, Chris Frantz, Tina Weymouth","Mariah Carey, Dave Hall, Chris Frantz, Tina Weymouth, Adrian Belew, Steven Stanley",23 08 1995
Father Figure,George Michael,28 December 1987,"Pop, R&B",5:40,Columbia,George Michael,George Michael,,,28 December 1987
Feel Like Makin' Love,Roberta Flack,"June 10, 1974","Soul, jazz, R&B",2:55,Atlantic,Eugene McDaniels,Rubina Flake,,,10 06 1974
Fingertips,Little Stevie Wonder,"May 21, 1963","R&B, soul",6:40,"Tamla, T 54080","Clarence Paul, Henry Cosby","Berry Gordy, Jr.",,,21 05 1963
Firework,Katy Perry,"October 26, 2010",Dance-pop,3:48,Capitol,"Katy Perry, Mikkel S, Eriksen, Tor Erik Hermansen, Sandy Wilhelm, Ester Dean","Stargate, Sandy Vee",,,26 10 2010
Fire,Ohio Players,November 1974,Funk,3:12,Mercury,"Billy Beck, Leroy, Sugarfoot, Bonner, Marshall, Rock, Jones, Ralph, Pee Wee, Middlebrooks, Marvin, Merv, Pierce, Clarence, Satch, Satchell, James, Diamond, Williams",Ohio Players,,,November 1974
First Class,Jack Harlow,"April 8, 2022",Hip hop,2:53,"Atlantic, Generation Now","Jackman Harlow, Jasper Harris, Douglas Ford, Rogét Chahayed, José Velazquez, Micaiah Raheem, Nickie Jon Pabón, Ryan Vojtesak, Stacy Ferguson, Jamal Jones, Will Adams, Elvis Williams, Christopher Bridges","Chahayed, Harlow, Harris, Charlie Handsome",,,08 04 2022
First Person Shooter,"Drake, J. Cole","October 31, 2023","Hip hop, trap",4:07,"OVO, Republic","Aubrey Graham, Jermaine Cole, Matthew Samuels, Anderson Hernandez, Brytavious Chambers, Michael Mulé, Isaac De Boni, Ozan Yıldırım, Scotty Coleman, Snorre Tidemand","Boi-1da, Vinylz, Tay Keith, FnZ, Oz, Coleman",,,31 10 2023
Flashdance... What a Feeling,Irene Cara,March 1983,"Pop, dance-pop, disco",3:55,"Casablanca, Network",,Giorgio Moroder,"Keith Forsey, Irene Cara",Giorgio Moroder,March 1983
Flowers,Miley Cyrus,"January 12, 2023","Disco, pop rock, funk",3:20,Columbia,"Miley Cyrus, Gregory Aldae Hein, Michael Pollack","Kid Harpoon, Tyler Johnson",,,12 01 2023
"Fly, Robin, Fly",Silver Convention,September 1975,"Disco, Euro disco, pop",3:50,"Jupiter, Midland International","Sylvester Levay, Stephan Prager",Stephan Prager,,,September 1975
Foolish Beat,Debbie Gibson,"April 11, 1988",,4:22,Atlantic,Deborah Gibson,Deborah Gibson,,,11 04 1988
Foolish,Ashanti,"February 11, 2002",R&B,3:47,"Def Jam, AJM, Murder Inc.","Ashanti Douglas, Mark DeBarge, Etterlene Jordan, Irving Lorenzo",Irv Gotti,,,11 02 2002
Footloose,Kenny Loggins,"January 11, 1984","Rock, country, rockabilly",3:48,Columbia,"Kenny Loggins, Dean Pitchford","Kenny Loggins, Lee DeCarlo",,,11 01 1984
Forever Your Girl,Paula Abdul,"February 20, 1989","Dance-pop, new jack swing",4:58,Virgin,Oliver Leiber,Oliver Leiber,,,20 02 1989
Fortnight,"Taylor Swift, Post Malone","April 19, 2024","Downtempo, electropop, synth-pop, new wave",3:48,Republic,"Taylor Swift, Jack Antonoff, Austin Post","Taylor Swift, Jack Antonoff",,,19 04 2024
For You Blue,the Beatles,11 May 1970,Country blues,2:32,Apple,George Harrison,Phil Spector,,,11 May 1970
Franchise,"Travis Scott, Young Thug, M.I.A.","September 25, 2020",Trap,3:22,"Epic, Cactus Jack","Jacques Webster II, Jeffery Williams, Mathangi Arulpragasam, Travis, Teddy, Walton, Chase Benjamin, Aaron Booe, Jamal Willingham, Bernard Leverette, Maurice Gleaton, Gerald Tiller","Scott, Walton",,,25 09 2020
Frankenstein,The Edgar Winter Group,"February 21, 1973","Instrumental rock, hard rock, progressive rock, blues rock, art rock",4:44,Epic,Edgar Winter,Rick Derringer,,,21 02 1973
Freak Me,Silk,"February 18, 1993",R&B,4:36,"Keia, Elektra","Keith Sweat, Roy Murray, Teno West","Keith Sweat, T.H.",,,18 02 1993
Funkytown,Lipps Inc.,"March 11, 1980","Minneapolis sound, disco, funk, synth-pop, dance-pop",7:50,Casablanca,Steven Greenberg,Steven Greenberg,,,11 03 1980
Gangsta's Paradise,"Coolio, L.V.","August 1, 1995","West Coast hip hop, pop rap, gangsta rap, G-funk",4:04,"Tommy Boy, Warner Bros., MCA","Artis Ivey, Jr, Larry Sanders, Doug Rasheed, Stevie Wonder",Doug Rasheed,,,01 08 1995
Genie in a Bottle,Christina Aguilera,"June 22, 1999","Soul-pop, teen pop, dance-pop, R&B",3:36,RCA,"David Frank, Steve Kipner, Pamela Sheyne","David Frank, Steve Kipner",,,22 06 1999
Georgia on My Mind,,,,,,,,,,
Gettin' Jiggy wit It,Will Smith,"January 26, 1998",,3:48,Columbia,"Will Smith, Samuel Barnes, Bernard Edwards, Joe Robinson, Nile Rodgers",Poke & Tone,,,26 01 1998
Get Back,"the Beatles, Billy Preston",11 April 1969,"Rock and roll, blues, rock",3:09,Apple,Lennon–McCartney,"Glyn Johns, and, George Martin, (single version), Phil Spector, (album version)",,,11 April 1969
Get Busy,Sean Paul,27 January 2003,"Dancehall, hip hop",3:32,"VP, Atlantic","Sean Paul Henriques, Steven, Lenky, Marsden",Steven Marsden,,,27 January 2003
Get Down Tonight,KC and the Sunshine Band,"February 11, 1975","Disco, funk, R&B",3:21,TK,"Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch",,,11 02 1975
Get Off of My Cloud,the Rolling Stones,24 September 1965,Blues rock,2:55,"London, (US),  Decca, (UK)",Jagger–Richards,Andrew Loog Oldham,,,24 September 1965
"Get Outta My Dreams, Get into My Car",Billy Ocean,18 January 1988,"Dance-pop, R&B",5:36,Jive,"Billy Ocean, Robert John, Mutt, Lange","Robert John ""Mutt"" Lange",,,18 January 1988
Ghostbusters,Ray Parker Jr.,"June 8, 1984","Dance-pop, synth-rock",4:06,Arista,Ray Parker Jr.,Ray Parker Jr.,,,08 06 1984
Girlfriend,Avril Lavigne,"February 27, 2007","Pop-punk, power pop",3:37,"RCA, Columbia","Avril Lavigne, Lukasz Gottwald",Dr. Luke,,,27 02 2007
Girls Like You,"Maroon 5, Cardi B","May 31, 2018","Pop, pop rock",3:56,"222, Interscope","Adam Levine, Henry Walter, Belcalis Almanzar, Brittany Talia Hazzard, Jason Evigan, Gian Stone","Cirkut, Jason Evigan",,,31 05 2018
Girl I'm Gonna Miss You,Milli Vanilli,1 July 1989,,3:57,"Hansa, Arista","Frank Farian, Peter Bischof-Fallenstein, Dietmar Kawohl",Frank Farian,,,1 July 1989
Give It to Me,"Timbaland, Nelly Furtado, Justin Timberlake","February 6, 2007","Electro, hip hop, club",3:55,"Mosley, Blackground, Interscope","Timothy Mosley, Nate Hills, Timothy Clayton, Justin Timberlake, Nelly Furtado",Timbaland,,,06 02 2007
Give Me Everything,"Pitbull, Ne-Yo, Afrojack, Nayer","March 15, 2011","Hip house, pop rap, progressive house, EDM",4:12,"Polo Grounds, J, Mr. 305","Armando Pérez, Nick van de Wall, Shaffer Smith","Afrojack, DJ Buddha, (co.)",,,15 03 2011
Give Me Love,George Harrison,7 May 1973,"Folk rock, gospel",3:36,Apple,George Harrison,George Harrison,,,7 May 1973
Glamorous,"Fergie, Ludacris","January 23, 2007","R&B, pop, pop rap",4:08,"A&M, will.i.am, Interscope","Stacy Ferguson, Jamal Jones, William Adams, Elvis Williams, Christopher Bridges",Polow da Don,,,23 01 2007
Glory of Love,Peter Cetera,"June 4, 1986","Soft rock, pop rock",4:26,Warner Bros.,"Peter Cetera, David Foster, Diane Nini",Michael Omartian,,,04 06 1986
God's Plan,Drake,"January 19, 2018","Pop, pop-rap, trap",3:19,"Young Money, Cash Money, Republic","Aubrey Graham, Ronald LaTour, Banko Jackson, Matthew Samuels, Noah Shebib, Brock Korsan","Cardo, Yung Exclusive, Boi-1da, 40 (addi.)",,,19 01 2018
Gold Digger,"Kanye West, Jamie Foxx","July 5, 2005",Pop rap,3:28,"Roc-A-Fella, Def Jam","Kanye West, Ray Charles, Renald Richard","Kanye West, Jon Brion",,,05 07 2005
Gonna Fly Now,Bill Conti,February 1977,Philly soul,2:48,United Artists,"Bill Conti, Carol Connors, Ayn Robbins",Bill Conti,,,February 1977
Gonna Make You Sweat,"C+C Music Factory, Freedom Williams","November 18, 1990","Hip house, funk, dance-pop",4:06,Columbia,"Robert Clivillés, Frederick Williams, David Cole",Clivillés and Cole,,,18 11 1990
Goodies,"Ciara, Petey Pablo","June 8, 2004",Crunk&B,3:43,"LaFace, Sho'nuff","Ciara Harris, Sean Garrett, LaMarquis Jefferson, Craig Love, Zachary Wallace, Jonathan, Lil Jon, Smith",Lil Jon,,,08 06 2004
Good 4 U,Olivia Rodrigo,"May 14, 2021","Rock, pop rock, pop-punk, teen pop, emo",2:58,"Geffen, Interscope","Olivia Rodrigo, Dan Nigro, Hayley Williams, Josh Farro",Dan Nigro,,,14 05 2021
Good Lovin',the Olympics,1965,Doo-wop,,Loma,"Rudy Clark, Arthur Resnick",Jerry Ragovoy,,,1965
Good Luck Charm,Elvis Presley,"February 27, 1962","Rock and roll, pop",2:27,"RCA Victor, ","Aaron Schroeder, Wally Gold",Steve Sholes,,,27 02 1962
Good Thing,Fine Young Cannibals,14 April 1989,"Northern soul, pop-soul, R&B",3:24,London,"Roland Gift, David Steele",Fine Young Cannibals,,,14 April 1989
Good Times,Chic,"June 4, 1979","Funk, disco",8:08,"Atlantic, (3584)","Bernard Edwards, Nile Rodgers","Bernard Edwards, Nile Rodgers",,,04 06 1979
Good Vibrations,the Beach Boys,"October 10, 1966","Progressive pop, psychedelic rock, art pop, acid rock, psychedelic pop, avant-pop, R&B, sunshine pop",3:35,Capitol,"Brian Wilson, Mike Love",Brian Wilson,,,10 10 1966
Good Vibrations,"Marky Mark and the Funky Bunch, Loleatta Holloway","July 16, 1991","Pop-rap, hip house",4:25,Interscope,"Donnie Wahlberg, Mark Wahlberg, Spice",Donnie Wahlberg,,,16 07 1991
Got My Mind Set on You,"James Ray, Hutch Davie","December 8, 1962","Rock, R&B, soul",3:26,Dynamic Sound,Rudy Clark,Hutch Davie,,,08 12 1962
Got to Give It Up,Marvin Gaye,"March 15, 1977","Funk, disco, soul",11:52,Tamla,Marvin Gaye,Art Stewart,,,15 03 1977
Go Away Little Girl,Steve Lawrence,November 1962,Pop,2:12,Columbia,"Gerry Goffin, Carole King",,,,November 1962
Grazing in the Grass,Hugh Masekela,May 1968,Jazz,2:55,"Uni, (55066)",Philemon Hou,Stewart Levine,,,May 1968
Grease,Frankie Valli,May 1978,"Funk, disco, pop",3:21,"RSO, Warner Bros.",Barry Gibb,Gibb-Galuten-Richardson,,,May 1978
Green Tambourine,the Lemon Pipers,November 1967,"Bubblegum pop, psychedelic pop, psychedelic rock, raga rock",2:23,Buddah,"Paul Leka, Shelley Pinz",Paul Leka,,,November 1967
Grenade,Bruno Mars,October 2010,"Pop, power pop",3:42,Elektra,"Bruno Mars, Philip Lawrence, Ari Levine, Brody Brown, Claude Kelly, Andrew Wyatt",The Smeezingtons,,,October 2010
Grillz,"Nelly, Paul Wall, Ali & Gipp","November 1, 2005",,4:30,"Universal, Fo' Reel Entertainment, Derrty Ent.","Cornell Haynes, Jr, Jermaine Mauldin, Ali Jones, Cameron Gipp, James Phillips, Paul Slayton, Beyoncé Knowles, Kelendria Rowland, Tenitra Williams, Garrett Hamler, Rich Harrison",Jermaine Dupri,,,01 11 2005
Groovin',the Young Rascals,"April 10, 1967","Blue-eyed soul, baião",2:30,Atlantic,"Felix Cavaliere, Eddie Brigati",The Rascals,,,10 04 1967
"Gypsys, Tramps & Thieves",Cher,"September 1, 1971","Pop, folk rock",2:36,"Kapp, MCA",Bob Stone,Snuff Garrett,,,01 09 1971
Half-Breed,Cher,"July 23, 1973","Pop rock, folk rock",2:46,MCA,"Al Capps, Mary Dean",Snuff Garrett,,,23 07 1973
Hangin' Tough,New Kids on the Block,"July 3, 1989","Pop rock, dance rock, funk rock",4:18,Columbia,Maurice Starr,Maurice Starr,,,03 07 1989
Hang On Sloopy,the Vibrations,1964,R&B,2:53,Atlantic,"Wes Farrell, Bert Berns",,,,1964
Hanky Panky,the Shondells,October 1964,"Garage rock, R&B",2:59,"Snap!,  Roulette","Jeff Barry, Ellie Greenwich",Henry Glover,,,October 1964
Happy Together,the Turtles,January 1967,"Pop rock, psychedelic pop, sunshine pop",2:50,White Whale,"Alan Gordon, Garry Bonner",Joe Wissert,,,January 1967
Happy,Pharrell Williams,"November 21, 2013","Soul, neo soul, R&B",3:55,"Back Lot Music, i Am Other, Columbia",Pharrell Williams,Pharrell Williams,,,21 11 2013
Hard to Say I'm Sorry,Chicago,17 May 1982,Soft rock,5:06,"Full Moon,  Warner Bros.","Peter Cetera, David Foster",David Foster,,,17 May 1982
Harlem Shake,Baauer,"May 22, 2012","Bass, hip hop, trap, electropop",3:16,"Jeffree's, Mad Decent","Harry Rodriques, Héctor Delgado, Jayson Musson, Kurt Hunte",Baauer,,,22 05 2012
Harper Valley PTA,Jeannie C. Riley,August 1968,"Country, country pop",3:16,Plantation,"Tom T, Hall",Shelby Singleton,,,August 1968
Havana,"Camila Cabello, Young Thug","August 3, 2017","Pop, Latin",3:37,"Epic, Syco","Camila Cabello, Jeffery Williams, Brittany Hazzard, Pharrell Williams, Adam Feeney, Brian Lee, Ali Tamposi, Andrew Watt, Louis Bell, Kaan Gunesberk",Frank Dukes,,,03 08 2017
Have You Ever?,Brandy,"October 6, 1998",Pop,4:33,Atlantic,Diane Warren,David Foster,,,06 10 1998
Have You Ever Really Loved a Woman?,Bryan Adams,"April 4, 1995",Latin rock,4:50,A&M,"Bryan Adams, Michael Kamen, Robert John, Mutt, Lange","Bryan Adams, Robert John ""Mutt"" Lange",,,04 04 1995
Have You Never Been Mellow,Olivia Newton-John,January 1975,"Pop, country, adult contemporary",3:31,"EMI, (UK), MCA, (US)",John Farrar,John Farrar,,,January 1975
Head to Toe,Lisa Lisa and Cult Jam,March 1987,"Freestyle, soul",5:03,Columbia,"Curt Bedeau, Gerry Charles, Hugh L Clarke, Brian George, Lucien George, Paul George",Full Force,,,March 1987
Heartaches by the Number,Guy Mitchell,"August 31, 1959",Country,2:34,Columbia,Harlan Howard,Joe Sherman,,,31 08 1959
Heartache Tonight,Eagles,"September 18, 1979","Hard rock, rock and roll, blues rock",4:25,Asylum,"Don Henley, Glenn Frey, Bob Seger, JD Souther",Bill Szymczyk,,,18 09 1979
Heartbreaker,"Mariah Carey, Jay-Z","August 23, 1999","Pop, hip hop, R&B",4:47,Columbia,"Mariah Carey, Shawn Carter, Shirley Elliston, Lincoln Chase, Narada Michael Walden, Jeffrey Cohen","Mariah Carey, DJ Clue, Ken “Duro” Ifill",,,23 08 1999
Heartless,the Weeknd,"November 27, 2019","R&B, trap",3:18,"XO, Republic","Abel Tesfaye, Leland Wayne, Carlo Montagnese, Andre Proctor","Metro Boomin, The Weeknd, Illangelo, Dre Moon, (, co., )",,,27 11 2019
Heart of Glass,Blondie,January 1979,"Disco, new wave, pop, dance-rock",3:22,Chrysalis,"Debbie Harry, Chris Stein",Mike Chapman,,,January 1979
Heart of Gold,Neil Young,January 1972,"Folk rock, country rock, soft rock",3:07,Reprise,Neil Young,"Elliot Mazer, Neil Young",,,January 1972
Heat Waves,Glass Animals,29 June 2020,"Psychedelic pop, R&B, pop rock",3:58,"Wolf Tone, Polydor, Republic",Dave Bayley,Dave Bayley,,,29 June 2020
Heaven Is a Place on Earth,Belinda Carlisle,"September 14, 1987","Power pop, pop rock, synth-rock",4:06,MCA,"Rick Nowels, Ellen Shipley",Rick Nowels,,,14 09 1987
Heaven,Bryan Adams,"April 9, 1985",Power pop,4:03,A&M,"Bryan Adams, Jim Vallance","Bob Clearmountain, Bryan Adams",,,09 04 1985
Hello,Adele,23 October 2015,Soul,4:56,"XL, Columbia","Adele Adkins, Greg Kurstin",Greg Kurstin,,,23 October 2015
"Hello, Dolly!",Louis Armstrong,January 1964,"Traditional pop, Dixieland jazz",2:27,Kapp,Jerry Herman,Michael Kapp,,,January 1964
"Hello, Goodbye",the Beatles,24 November 1967,"Pop, psychedelia",3:27,"Parlophone, (UK), Capitol, (US)",Lennon–McCartney,George Martin,,,24 November 1967
"Hello, I Love You",the Doors,"June 11, 1968","Rock, pop, pop rock",2:13,Elektra,The Doors,Paul A. Rothchild,,,11 06 1968
Hello,Lionel Richie,"February 13, 1984","Pop, quiet storm, soft rock",4:08,Motown,Lionel Richie,"Lionel Richie, James Anthony Carmichael",,,13 02 1984
"Help Me, Rhonda",the Beach Boys,"March 8, 1965",Rock,3:10,Capitol,,Brian Wilson,"Brian Wilson,, Mike Love",Brian Wilson,08 03 1965
Help!,the Beatles,19 July 1965,Folk rock,2:18,"Parlophone, (UK), Capitol, (US)",Lennon–McCartney,George Martin,,,19 July 1965
Here Comes the Hotstepper,Ini Kamoze,1994,"Hip hop, reggae fusion",4:13,Columbia,"Ini Kamoze, Chris Kenner, Kenton Nix, Salaam Remi",Salaam Remi,,,1994
Here I Go Again,Whitesnake,October 1982,"Hard rock, blues rock",5:09,Liberty,"David Coverdale, Bernie Marsden",Martin Birch,,,October 1982
Hero,Mariah Carey,"October 18, 1993",Pop,4:17,Columbia,,"Walter Afanasieff, Mariah Carey",Mariah Carey,"Mariah Carey, Walter Afanasieff",18 10 1993
Hey Jude,the Beatles,26 August 1968,"Rock, pop, pop rock",7:12,Apple,Lennon–McCartney,George Martin,,,26 August 1968
Hey Paula,Paul & Paula,1962,Pop,2:27,"Le Cam,  Philips, (US), Sparton, (Canada)",Ray Hildebrand,"Major Bill Smith, Marvin ""Smokey"" Montgomery",,,1962
Hey There Delilah,Plain White T's,"May 9, 2006","Folk-pop, emo pop, emo",3:52,"Hollywood, Fearless",Tom Higgenson,"Jay Bolta, Robert Dimonda, Ariel Rechtshaid, Sean O'Keefe",,,09 05 2006
Hey Ya!,Outkast,"September 9, 2003","Pop, electro, funk, hip hop, neo-soul",3:55,"Arista, BMG",André Benjamin,André 3000,,,09 09 2003
Hey! Baby,Bruce Channel,December 1961,Pop,2:27,"LeCam,  Smash,  CBS, (US)","Margaret Cobb, Bruce Channel","Bruce Channel, Major Bill Smith",,,December 1961
He's a Rebel,the Crystals,August 1962,Pop,2:31,"Philles, 106",Gene Pitney,Phil Spector,,,August 1962
He's So Fine,The Chiffons,January 1963,Pop,1:53,Laurie Records,Ronald Mack,"Phil Margo, , , Mitch Margo, , Jay Siegal, and, Hank Medress",,,January 1963
He Will Break Your Heart,Jerry Butler,August 1960,R&B,2:40,Vee-Jay,"Jerry Butler, Calvin Carter, Curtis Mayfield",,,,August 1960
Higher Love,Steve Winwood,June 1986,"Soft rock, blues rock, blue-eyed soul",5:51,"Island, – IS 288","Steve Winwood, Will Jennings","Russ Titelman, Steve Winwood",,,June 1986
Highest in the Room,Travis Scott,"October 4, 2019",Trap,2:55,"Cactus Jack, Grand Hustle, Epic","Jacques Webster II, Ozan Yildirim, Nik Frascona, Mike Dean","OZ, Nik D, Dean (, co., )",,,04 10 2019
Hips Don't Lie,"Shakira, Wyclef Jean",14 February 2006,"Latin pop, reggaeton, salsa, cumbia",3:38,Epic,,"Shakira, Jerry Duplessis, Wyclef Jean","Shakira, Wyclef Jean","Shakira, Omar Alfanno, LaTavia Parker, Luis Días, Jerry Duplessis, Wyclef Jean, Archie Pena",14 February 2006
Hiss,Megan Thee Stallion,"January 26, 2024",Hip hop,3:12,Hot Girl,,"LilJuMadeDaBeat, Bankroll Got It, Shawn ""Source"" Jarrett",Megan Pete,"Shawn ""Source"" Jarrett, Joel Banks, Taylor Banks",26 01 2024
Hit the Road Jack,Ray Charles,August 1961,R&B,2:00,ABC-Paramount,Percy Mayfield,Sid Feller,,,August 1961
Holding Back the Years,Simply Red,4 November 1985,"Sophisti-pop, soft rock",4:28,"Elektra, WEA","Mick Hucknall, Neil Moss",Stewart Levine,,,4 November 1985
Hold It Against Me,Britney Spears,"January 10, 2011",Dance-pop,3:49,Jive,"Max Martin, Lukasz Gottwald, Bonnie McKee","Dr. Luke, Max Martin, Billboard",,,10 01 2011
Hold On to the Nights,Richard Marx,"May 3, 1988",Soft rock,5:12,EMI,Richard Marx,"Richard Marx, , David Cole",,,03 05 1988
Hold On,Wilson Phillips,"February 27, 1990",Pop,4:27,SBK,"Carnie Wilson, Chynna Phillips, Glen Ballard",Glen Ballard,,,27 02 1990
Hollaback Girl,Gwen Stefani,"March 22, 2005",Hip hop,3:19,Interscope,"Gwen Stefani, Pharrell Williams, Chad Hugo",The Neptunes,,,22 03 2005
Honey,Bobby Goldsboro,"February 17, 1968",Country,3:55,United Artists,Bobby Russell,Bob Montgomery,,,17 02 1968
Honey,Mariah Carey,"July 29, 1997","R&B, pop, hip hop",5:00,Columbia,,"Sean ""Puffy"" Combs, The Ummah, Stevie J, Mariah Carey",Mariah Carey,"Mariah Carey, Sean Combs, Kamaal Fareed, Steven Jordan, Stephen Hague, Bobby Robinson, Ronald Larkins, Larry Price, Malcolm McLaren",29 07 1997
Honky Tonk Women,the Rolling Stones,4 July 1969,"Hard rock, rock and roll",3:03,"Decca, (UK), London, (US)",Jagger–Richards,Jimmy Miller,,,4 July 1969
Hooked on a Feeling,B. J. Thomas,"October 29, 1968","Pop, psychedelia",2:48,Scepter,Mark James,Chips Moman,,,29 10 1968
Hotel California,Eagles,"February 22, 1977",Rock,6:34,Asylum,"Don Felder, Don Henley, Glenn Frey",Bill Szymczyk,,,22 02 1977
Hot Child in the City,Nick Gilder,"June 12, 1978","Rock, power pop",3:09,Chrysalis,"Nick Gilder, James McCulloch",Mike Chapman,,,12 06 1978
Hot in Herre,Nelly,"May 7, 2002",Hip hop,3:49,"Universal, Fo' Reel","Cornell Haynes, Pharrell Williams, Chad Hugo, Charles Brown",The Neptunes,,,07 05 2002
Hot Stuff,Donna Summer,"April 13, 1979","Disco, rock",3:47,Casablanca,"Pete Bellotte, Harold Faltermeyer, Keith Forsey","Giorgio Moroder, Pete Bellotte",,,13 04 1979
How Am I Supposed to Live Without You,Laura Branigan,"July 1, 1983",Pop,4:29,Atlantic,"Michael Bolton, Doug James",Jack White,,,01 07 1983
How Can You Mend a Broken Heart,Bee Gees,28 May 1971,"Pop, folk rock, country soul",3:57,"Polydor, Atco, (United States, Canada)","Barry Gibb, Robin Gibb","Robert Stigwood, Bee Gees",,,28 May 1971
How Deep Is Your Love,Bee Gees,September 1977,Soft rock,4:02,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Karl Richardson, Albhy Galuten",,,September 1977
How Do U Want It,"2Pac, K-Ci & JoJo","June 4, 1996","Hip hop, R&B",4:47,"Death Row, Interscope","Tupac Shakur, Johnny Jackson, Mr.Dalvin","Johnny ""J"" & Mr. Dalvin",,,04 06 1996
How Do You Talk to an Angel,The Heights,"September 5, 1992",Pop rock,3:48,Capitol,"Barry Coffing, Steve Tyrell, Stephanie Tyrell",Steve Tyrell,,,05 09 1992
How Will I Know,Whitney Houston,"November 22, 1985","Synth-funk, dance-pop",4:30,Arista,"George Merrill, Shannon Rubicam, Narada Michael Walden",Narada Michael Walden,,,22 11 1985
How You Remind Me,Nickelback,"July 17, 2001","Post-grunge, alternative rock, hard rock",3:43,Roadrunner,,"Rick Parashar, Nickelback",Chad Kroeger,Nickelback,17 07 2001
Human,the Human League,11 August 1986,"Pop soul, dance",4:24,Virgin,"James Harris III, Terry Lewis",Jimmy Jam and Terry Lewis,,,11 August 1986
Humble,Kendrick Lamar,"March 30, 2017","Hip hop, trap",2:57,"Top Dawg, Aftermath, Interscope","Kendrick Duckworth, Michael Williams II, Asheton Hogan","Mike Will Made It, Pluss",,,30 03 2017
Hypnotize,The Notorious B.I.G.,"March 4, 1997","Hip hop, East Coast hip hop",3:49,"Bad Boy, Arista","Christopher Wallace, Sean Combs, Deric Angelettie, Ron Lawrence, Andy Armer, Randy Alpert","D-Dot, Ron ""Amen-Ra"" Lawrence, Sean ""Puffy"" Combs, (co.)",,,04 03 1997
Ice Ice Baby,Vanilla Ice,"August 22, 1990",Hip hop,3:46,SBK,"Robert Van Winkle, Mario Johnson, Brian May, David Bowie, Freddie Mercury, John Deacon, Roger Taylor",Vanilla Ice,,,22 08 1990
If I Can't Have You,Bee Gees,13 December 1977,Disco,3:25,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson",,,13 December 1977
If Wishes Came True,Sweet Sensation,June 1990,"Pop rock, freestyle",5:12,ATCO,"Deena Charles, Robert Steele, Russ DeSalvo",Steve Peck,,,June 1990
If You Don't Know Me by Now,Harold Melvin & the Blue Notes,"September 11, 1972","Philadelphia soul, R&B",3:27,Philadelphia International Records,"Kenny Gamble, Leon Huff","Kenny Gamble, Leon Huff",,,11 09 1972
If You Had My Love,Jennifer Lopez,"May 4, 1999","Pop, R&B",4:26,Work,"Rodney Jerkins, LaShawn Daniels, Cory Rooney, Jennifer Lopez, Fred Jerkins III",Rodney Jerkins,,,04 05 1999
If You Leave Me Now,Chicago,30 July 1976,"Soft rock, pop",3:58,Columbia,Peter Cetera,James William Guercio,,,30 July 1976
If You Wanna Be Happy,Jimmy Soul,1963,Doo-wop,2:14,"S.P.Q.R./, London Records","Rafael de Leon, Joseph Royster, Carmella Guida, Frank Guida",,,,1963
Imma Be,the Black Eyed Peas,"June 3, 2009","Hip hop, EDM",4:16,Interscope,"William Adams, Allan Pineda, Jaime Gomez, Stacy Ferguson, Keith Harris, Thomas Brenneck, Michael Deller, Daniel Foder, Jared Tankel","will.i.am, Keith Harris",,,03 06 2009
Incense and Peppermints,Strawberry Alarm Clock,"May 19, 1967","Psychedelic pop, psychedelic rock, acid rock",2:47,UNI,"John S, Carter, Tim Gilbert, uncredited, Mark Weitz, Ed King",Frank Slay,,,19 05 1967
Incomplete,Sisqó,"June 13, 2000",,4:35,Def Soul,"Montell Jordan, Anthony, Shep, Crawford","Anthony ""Shep"" Crawford",,,13 06 2000
Independent Women Part I,Destiny's Child,"August 29, 2000",R&B,3:37,Columbia,"Beyoncé Knowles, Samuel Barnes, Cory Rooney, Jean-Claude Olivier","Beyoncé Knowles, Poke and Tone, Cory Rooney",,,29 08 2000
Indian Reservation,Don Fardon,August 1968,Blues,3:23,"Pye, GNP Crescendo","John D, Loudermilk",Miki Dallon,,,August 1968
Industry Baby,"Lil Nas X, Jack Harlow","July 23, 2021","Trap, pop rap",3:32,Columbia,"Montero Hill, Jackman Harlow, Mark Williams, Raul Cubina, Roy Lenzo, Denzel Baptiste, David Biral, Kanye West, Nick Lee","Take a Daytrip, Kanye West",,,23 07 2021
